feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV559	Filtered	yes	-0.00943292431443576	0.00394792744015331	16	4	0.0315055798940958	0.14967491359999
ASV809	Filtered	yes	-0.0054168847773032	0.00226987559902826	16	4	0.0316815924885173	0.14967491359999
ASV116	Filtered	yes	-0.0057654010809892	0.00242930394948894	16	4	0.0324881351886062	0.149757322622851
ASV131	Filtered	yes	-0.0262982504998164	0.0110936063131884	16	4	0.032655847948524	0.149757322622851
ASV205	Filtered	yes	-0.0240032071544035	0.0101589948915172	16	4	0.0331472411597906	0.149757322622851
ASV235	Filtered	yes	-0.022415329019542	0.00949381340362912	16	4	0.0332554707942893	0.149757322622851
ASV278	Filtered	yes	-0.0113962151867927	0.00479599115310834	16	4	0.0323071865995659	0.149757322622851
ASV406	Filtered	yes	-0.0135099801928543	0.00572478141214772	16	4	0.0333274966530622	0.149757322622851
ASV508	Filtered	yes	-0.0111795190391572	0.00473078807249949	16	4	0.0331227797037012	0.149757322622851
ASV96	Filtered	yes	-0.0278711387131459	0.0119286937636125	16	4	0.0348494911800992	0.15290359202221
ASV126	Filtered	yes	-0.0278765194972267	0.011894249034468	16	4	0.0343737630746907	0.15290359202221
ASV173	Filtered	yes	-0.0247577834561174	0.0106305264394872	16	4	0.0353534316814358	0.15290359202221
ASV187	Filtered	yes	-0.0221758065285408	0.00952085359669349	16	4	0.0353366501686282	0.15290359202221
ASV310	Filtered	yes	-0.011656569702925	0.00499983780215937	16	4	0.0351886155453371	0.15290359202221
ASV393	Filtered	yes	-0.0134157314727125	0.00575183543038858	16	4	0.0351192873645297	0.15290359202221
ASV30	Filtered	yes	-0.0609288136554258	0.0262575140883995	16	10	0.0359293225558354	0.154429137941852
ASV83	Filtered	yes	-0.0360708230067595	0.0156131203595748	16	4	0.036628256368563	0.155709173238765
ASV160	Filtered	yes	-0.0230408950717522	0.0100000856985418	16	4	0.0370630980140128	0.155709173238765
ASV600	Filtered	yes	-0.00896925890193213	0.00389138724299948	16	4	0.0370047618975477	0.155709173238765
ASV726	Filtered	yes	-0.00765383624755474	0.00332319064756495	16	4	0.0371271872606882	0.155709173238765
ASV60	Filtered	yes	-0.0494355999758563	0.0215473706225017	16	6	0.0377577840375286	0.157399918999818
ASV679	Filtered	yes	-0.0062502008115717	0.00274373974391769	16	4	0.0389403702328985	0.161357701803388
ASV135	Filtered	yes	-0.0247612816617841	0.0109315820891036	16	4	0.0398994280650527	0.162414142476568
ASV168	Filtered	yes	-0.0218317800588548	0.00961319030194163	16	4	0.0394564172315929	0.162414142476568
ASV782	Filtered	yes	-0.00756839516908002	0.00333833746148151	16	4	0.0397489013767072	0.162414142476568
ASV44	Filtered	yes	-0.0575944946316373	0.0254792805895752	16	8	0.0402528314203682	0.162894499081256
ASV45	Filtered	yes	-0.0631593226140764	0.0280726325763613	16	6	0.0410652098195986	0.16521584415792
ASV32	Filtered	yes	-0.0592683946478267	0.0265363601844865	16	4	0.042351699416374	0.168433195380062
ASV694	Filtered	yes	-0.00735186648192144	0.00329142831339466	16	4	0.0423388298990519	0.168433195380062
