Variant	Sample01	Sample02	Sample03	Sample04	Sample05	Sample06	Sample07	Sample08	Sample09	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17
ASV349	0	0	0	0	0	0	10	42	0	0	0	0	0	0	0	0	181
ASV350	0	0	0	0	0	0	107	80	0	0	0	0	0	0	16	28	0
ASV351	0	0	0	0	0	0	153	74	0	0	0	0	0	0	0	0	0
ASV352	0	0	39	43	0	0	87	50	0	0	0	0	0	0	7	0	0
ASV353	0	0	69	157	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV354	0	0	22	22	0	0	117	63	0	0	0	0	0	0	0	0	0
ASV356	0	0	13	0	0	0	113	51	0	0	0	0	0	0	0	0	46
ASV357	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	205
ASV358	0	0	0	129	0	0	6	86	0	0	0	0	0	0	0	0	0
ASV359	0	0	0	0	0	0	0	0	0	0	162	58	0	0	0	0	0
ASV360	0	0	0	116	0	0	8	95	0	0	0	0	0	0	0	0	0
ASV361	0	0	0	0	0	0	180	38	0	0	0	0	0	0	0	0	0
ASV362	0	0	37	44	0	0	55	81	0	0	0	0	0	0	0	0	0
ASV363	0	0	0	11	0	0	77	128	0	0	0	0	0	0	0	0	0
ASV365	0	0	12	14	0	0	88	99	0	0	0	0	0	0	0	0	0
ASV366	0	0	23	20	0	0	27	30	0	0	0	0	0	0	88	24	0
ASV367	0	0	88	123	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV368	0	0	58	55	0	0	0	98	0	0	0	0	0	0	0	0	0
ASV369	0	0	0	0	0	0	67	142	0	0	0	0	0	0	0	0	0
ASV370	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0
